x,Interactive workloads,Short-running workloads A,Long-running continuous workload B1,Long-running continuous workload B2,Long-running interruptible workload C1,Long-running interruptible workload C2,Long-running interruptible workload C3
1.575,1.06747e+06,1.47532e+06,-4.989255e+07,2.1287e+05,1.86926e+06,-2.1322023e+08,1.55332819e+09
1.712,1.0658e+06,1.47173e+06,-4.822457e+07,2.2032e+05,1.86695e+06,-2.1137136e+08,1.54491619e+09
1.874,1.06383e+06,1.46753e+06,-4.630735e+07,2.2909e+05,1.86417e+06,-2.0920197e+08,1.53505169e+09
2.572,1.05108e+06,1.44898e+06,-3.858498e+07,2.6697e+05,1.84876e+06,-1.9991881e+08,1.49290451e+09
2.633,1.04941e+06,1.44728e+06,-3.795695e+07,2.7026e+05,1.84682e+06,-1.9912045e+08,1.48928431e+09
3.109,1.03315e+06,1.43295e+06,-3.324898e+07,2.9608e+05,1.82006e+06,-1.9288956e+08,1.46105099e+09
3.408,1.02137e+06,1.42244e+06,-3.049177e+07,3.123e+05,1.79108e+06,-1.8901354e+08,1.44350486e+09
3.492,1.018e+06,1.41914e+06,-2.974301e+07,3.1686e+05,1.78727e+06,-1.8792818e+08,1.43859358e+09
3.629,1.01251e+06,1.41333e+06,-2.854119e+07,3.2434e+05,1.78175e+06,-1.8615447e+08,1.43056927e+09
4.404,9.8201e+05,1.36505e+06,-2.235278e+07,3.6635e+05,1.75287e+06,-1.7630381e+08,1.38603538e+09
4.55,9.7562e+05,1.35148e+06,-2.129274e+07,3.7424e+05,1.74678e+06,-1.7447414e+08,1.37776766e+09
4.948,9.5806e+05,1.3192e+06,-1.854952e+07,3.9588e+05,1.72578e+06,-1.6949937e+08,1.35529108e+09
5.247,9.4972e+05,1.30766e+06,-1.664546e+07,4.1206e+05,1.6911e+06,-1.6581169e+08,1.33863017e+09
5.408,9.4757e+05,1.30503e+06,-1.567177e+07,4.2078e+05,1.66429e+06,-1.6383949e+08,1.32971913e+09
5.547,9.4693e+05,1.30399e+06,-1.485778e+07,4.2832e+05,1.65959e+06,-1.6214077e+08,1.32204302e+09
6.252,9.542e+05,1.3083e+06,-1.111665e+07,4.6655e+05,1.66429e+06,-1.5362787e+08,1.28355676e+09
6.705,9.6294e+05,1.31586e+06,-9.03635e+06,4.9114e+05,1.66873e+06,-1.4824846e+08,1.25921095e+09
6.928,9.6742e+05,1.32047e+06,-8.10044e+06,5.0324e+05,1.67236e+06,-1.4562808e+08,1.24734134e+09
7.173,9.7131e+05,1.32616e+06,-7.13866e+06,5.165e+05,1.68069e+06,-1.427771e+08,1.23441776e+09
7.542,9.7152e+05,1.33585e+06,-5.80841e+06,5.3653e+05,1.71173e+06,-1.3851453e+08,1.21507374e+09
7.788,9.7127e+05,1.34265e+06,-5.00205e+06,5.4984e+05,1.72988e+06,-1.357096e+08,1.20232825e+09
7.857,9.7137e+05,1.34455e+06,-4.78638e+06,5.5358e+05,1.7332e+06,-1.3492596e+08,1.19876486e+09
8.463,9.7562e+05,1.36e+06,-3.08398e+06,5.8645e+05,1.74959e+06,-1.2811294e+08,1.16772992e+09
8.709,9.794e+05,1.36523e+06,-2.48805e+06,5.9979e+05,1.75448e+06,-1.2539081e+08,1.15529891e+09
8.932,9.8348e+05,1.36915e+06,-1.99314e+06,6.1184e+05,1.76067e+06,-1.2294944e+08,1.14413279e+09
